vyháčkovat	vyháčkovať
odstranit	odstrániť
pokašlávat	pokašliavať
okrádat	okrádať
exportovat	exportovať
lít	liať
odhlasovat	odhlasovať
synchronizovat	synchronizovať
odhodlat	odhodlať
rekonstruovat	rekonštruovať
promoknout	premoknúť
poporůst	poporásť
brázdit	brázdiť
vdát	vydať
dovažovat	dovažovať
vyšroubovat	vyskrutkovať / vyšraubovať
jezdit	jazdiť
servírovat	servírovať
hodlat	hodlať
chybit	chybiť
dofinišovat	dofinišovať
vystartovat	vyštartovať
rozcházet	rozchádzať
podléhat	podliehať
účastnit	účastniť
vstát	vstať
ochabnout	ochabnúť
spatřovat	badať
chvástat	chvastať
ožít	ožiť
rozklenout	rozklenúť
rozvinout	rozvinúť
vypisovat	vypisovať
ulít	uliať
faxovat	faxovať
překvapit	prekvapiť
donést	doniesť
Comes	XXX
zakrýt	zakryť
doprovodit	odprevadiť
pást	pásť
přitížit	priťažiť
proklubat	prekľuť
připouštět	připúšťať
soustředit	sústrediť
utřít	utrieť
usoudit	usúdiť
uhodnout	uhádnuť
chlácholit	chlácholiť
blamovat	blamovať
jednat	jednať
udávat	udávať
viz	viď
zpochybnit	zpochybniť
udělovat	udeľovať
barvit	farbiť
naklást	naklásť
sypat	sypať
ustálit	ustáliť
zalíbit	zapáčiť
ozářit	ožiariť
vyjít	vyjsť
soudit	súdiť
redukovat	redukovať
prorazit	preraziť
rodit	rodiť
plavit	plaviť
připojovat	pripojovať
přibrat	pribrať
katalyzovat	katalyzovať
vyvézt	vyviezť
dopracovávat	dopracovávať
soudcovat	sudcovať
obšťastňovat	obšťastňovať
šulit	fušovať
zavinit	zaviniť
zahlédnout	zahliadnuť
nalovit	naloviť
potvrdit	potvrdiť
rozdmýchat	rozdúchať / rozdmýchať
zažádat	zažiadať
posoudit	posúdiť
unavit	unaviť
žádat	žiadať
odkládat	odkladať
Were	XXX
rozběhnout	rozbehnúť
kypět	kypieť
zprůzračnit	spriezračniť
zdvihnout	zdvihnúť
vyměřit	vymerať
rozpustit	rozpustiť
oplývat	oplývať
vyplatit	vyplatiť / oplatiť
zakotvovat	zakotvovať
psát	písať
umoudřit	umúdriť
téci	tiecť
zostřit	zostriť
give	XXX
třímat	držať / triemať
odhodlávat	odhodlávať
sjet	zísť
zmnožit	zmnožiť
pohlídat	postrážiť
zatarasit	zatarasiť
skočit	skočiť
odsloužit	odslúžiť
odcestovat	odcestovať
zajistit	zaistiť
zazlít	zazliť
namáhat	namáhať
odpoutávat	odpútavať
otálet	otáľať
vyboxovat	vyboxovať
nalodit	nalodiť
zabavit	zabaviť / skonfiškovať / zhabať
uvolit	uvoliť
zaplést	zapliesť
honit	naháňať
udivovat	udivovať
odtékat	odtekať
naslouchat	načúvať / počúvať
potlačit	potlačiť
podtrhnout	podčiarknuť / podtrhnúť
vládnout	vládnuť
distribuovat	distribuovať
nadřadit	nadradiť
zapřáhnout	zapriahnuť
hubnout	chudnúť
rozmotat	rozmotať
poklesnout	poklesnúť
prokousat	prokusať
přeměnit	premeniť
vyústit	vyústiť
přitvrdit	pritvrdiť
přidržet	pridržať
Can	XXX
vyběhnout	vybehnúť
kultivovat	kultivovať
zfilmovat	sfilmovať
obrátit	obrátiť
zatlačit	zatlačiť
dopouštět	dopúšťať
ochudit	ochudobniť
pohoršit	pohoršiť
poučovat	poučovať
vtělovat	vtelovať
zafungovat	zafungovať
vystoupat	vystúpať
mrknout	mrknúť / žmurknúť
vát	viať
zrekapitulovat	zrekapitulovať
přepadnout	prepadnúť
nabírat	naberať
povozit	povoziť
dopracovat	dopracovať
spiknout	spiknúť
dočítat	dočítať
začínat	začínať
přihlížet	prizerať
vyšlapat	vyšliapať
strkat	strkať
zesílit	zosilniť
oslnit	oslniť
chtít	chcieť
mizet	miznúť
inklinovat	inklinovať
kandidovat	kandidovať
skládat	skladať
vybičovat	vybičovať
nasednout	nasadnúť
vykonávat	vykonávať
být	byť
blýsknout	blysknúť
spořádat	zjesť / usporiadať
vzdorovat	vzdorovať
přilétnout	priletieť
vzedmout	vzduť
oslovit	osloviť
uhradit	uhradiť
vnucovat	vnucovať
napsat	napísať
vpadnout	vpadnúť
prchat	prchať / utekať
rozhoupat	rozhojdať
přiučit	priučiť
spolufinancovat	spolufinancovať
zjednávat	zjednať
prověřit	preveriť
přidat	pridať
vyslat	vyslať
podávat	podávať
vysvětit	vysvätiť
zahrozit	zahroziť
fixovat	fixovať
nalítnout	naletieť
odčerpávat	odčerpávať
odstartovat	odštartovať
potěžkávat	poťažkávať
