oblékat	obliať,obliekať
požádat	požiadať
zkracovat	pracovať
zbrojit	zapojiť,vryť,zaliať,zblížiť,zlostiť,zavrtieť,určiť,zberať,pobrať,zohrať,zažiť,zmocil,hrbiť,trpieť,nabrať,zočiť,zbaviť,zveriť,zhodiť,zahrmieť,zísť,zvoniť,zvoliť,zahrať,mrzieť,zúžiť,zožrať,zdobiť,zatajiť,zobrať,zbiť,zbaliť,vrtieť,kryť,zmocniť,hrmieť,vybrať,hroziť,zvolať,vystrojiť,zabrať,zbadať,hrať,zlomiť,prospieť,brať,zakryť,zabiť,zdať,prosiť,zúriť,zložiť,urobiť
vědět	odísť,viať,vyspať,vryť,odpľuť,Balú,môcť,vnášať,vnútiť,viezť,šiť,boj,vďačiť,piť,sa,vliezť,kuť,vypnúť,odkryť,vídať,stáť,všímať,vážiť,vrznúť,vzrásť,vliecť,vidieť,vypiť,báť,voliť,vojsť,užiť,udrieť,stať,vyliať,vrútiť,udržať,uderiť,vraziť,vliať,vracať,vnukať,vložiť,vládať,odolať,voňať,využiť,vyjsť,rásť,hnúť,odbiť,vrčať,zísť,vládnuť,valiť,žiť,vydať,umyť,byť,jesť,dať,odviať,vyznať,zdobiť,veštiť,zdesiť,vzdať,učiť,ujsť,zbiť,vnímať,vrtieť,vedieť,udupať,kryť,tkať,zdržať,volať,bál,viazať,vybrať,jsť,vyslať,vrátiť,diať,vziať,vláčiť,spať,vyhrať,čuť,variť,udať,hrať,hnať,vrieť,vrhnúť,vzísť,bdieť,váhať,vítať,vyrásť,vyhnať,visieť,brať,biť,vyzuť,obuť,pásť,zdať,vstať,mať,vyhnúť,viesť,vyzvať,veriť,liať,vyzdobiť,ísť,dbať,udeliť
slyšet	obliecť,slziť,viezť,šiť,boj,zaliezť,piť,kuť,vyriecť,želať,bolieť,stáť,tiecť,túliť,vypiť,báť,voliť,vyliezť,niesť,stať,túlať,slabnúť,liezť,slúžiť,sadať,sedieť,vyjsť,deliť,valiť,žiť,vydať,byť,dať,smieť,splynúť,volať,sŕkať,bál,vzlykať,súriť,jsť,mýliť,spať,čuť,vyviesť,vyniesť,čeliť,súdiť,piecť,zjesť,biť,schytiť,vyzuť,uplynúť,páliť,smiať,skryť,mať,viesť,slušať,ísť
vyplývat	vyplývať
postarat	postarať
otiskovat	odskočiť,obdivovať,aktivovať,obviňovať,oblizovať,vytipovať,obsahovať,milovať,odfukovať,odlišovať,ďakovať,bičovať
svěřit	svedčiť,slziť,šiť,boj,cúvať,stačiť,piť,zavrieť,kuť,svitnúť,stáť,loviť,smrdieť,báť,skúsiť,svietiť,užiť,znieť,stať,zovrieť,zavyť,skočiť,baviť,vliať,slúžiť,dávať,sadať,ozvať,mávať,mlieť,žiť,byť,dať,svrbieť,smieť,stlmiť,učiť,zbiť,uliať,strpieť,sŕkať,bál,silnieť,súriť,jsť,vziať,hriať,zrieť,spojiť,spať,čuť,súdiť,skoliť,vrieť,splniť,bdieť,priať,snežiť,biť,smiať,dívať,skryť,mať,kliať,trvať,sľúbiť,živiť,snoriť,bývať,snažiť,staviť,strčiť,ísť
pozorovat	pozorovať
