mať	mít
byť	být
povedať	říci
môcť	moci
vedieť	vědět
chcieť	chtít
ísť	jít
musieť	muset
prísť	přijít
vidieť	vidět
odvetiť	odvětit
spýtať	zeptat
dať	dát
začať	začát
zvolať	zvolat
nájsť	najít
stať	stát
urobiť	udělat
pozrieť	podívat
odísť	odejít
sedieť	sedět
poznať	poznat
čakať	čekat
dostať	dostat
otvoriť	otevřít
myslieť	myslet
stáť	stát
robiť	dělat
vrátiť	vrátit
volať	volat
vyjsť	vyjít
cítiť	cítit
usmiať	usmát
hovoriť	hovořit / mluvit
veriť	věřit
zdvihnúť	zdvihnout / zvednout
vziať	vzít
pomyslieť	pomyslet
zjaviť	zjevit
rozprávať	mluvit / vyprávět
ostať	zůstat
zbadať	uvidět / spatřit
vravieť	pravit / říkat
počuť	slyšet
pustiť	pustit
zasmiať	zasmát
spomenúť	vzpomenout
uvidieť	uvidět
sledovať	sledovat
chodiť	chodit
zostať	zůstat
ukázať	ukázat
kričať	křičet
chytiť	chytit
páčiť	líbit / páčit
báť	bát
pomôcť	pomoci
zmiznúť	zmizet
hľadať	hledat
sadnúť	sednout
písať	psát
pripraviť	připravit
patriť	patřit
pochopiť	pochopit
vytvoriť	vytvořit
vyzerať	vypadat
trvať	trvat
ležať	ležet
zastať	zastat / zastavit
priniesť	přinést
všimnúť	všimnout
viesť	vést
navrhnúť	navrhnout
ďakovať	děkovat
otočiť	otočit
prestať	přestat
dokázať	dokázat
držať	držet
objaviť	objevit
nechať	nechat
zabudnúť	zapomenout
vysvetliť	vysvětlit
zistiť	zijstit
počúvať	poslouchat
začuť	usylšet
spať	spát
hrať	hrát
potrebovať	potřebovat
vybrať	vybrat
položiť	položit
čítať	číst / čítat
snažiť	snažit
zomrieť	umřít / zemřít
pokračovať	pokračovat
odpovedať	odpovědět
chýbať	chýbět
prikývnuť	přikývnout
stačiť	stačit
zdať	zdát
vstať	vstát
stretnúť	potkat
zastaviť	zastavit
stratiť	ztratit
pocítiť	pocítit
zašepkať	zašeptat
vyhlásiť	vyhlásit
postaviť	postavit
znamenať	znamenat
dozvedieť	dozvědět / dovědět
žiť	žít
utiecť	utéci
hodiť	hodit
pobozkať	políbit
venovať	věnovat
zobudiť	vzbudit
bývať	bydlet / bývat
letieť	letět
prijať	přijmout
súhlasiť	souhlasit
nachádzať	nacházet
zabiť	zabít
zavrieť	zavřít
bežať	běžet
rozhodnúť	rozhodnout
poznamenať	poznamenat
uvedomiť	uvědomit
skončiť	skončit
zmeniť	změnit
pripadať	připadat
obrátiť	obrátit
podať	podat
jestvovať	existovat
existovať	existovat
napísať	napsat
pripomínať	připomínat
dúfať	doufat
kráčať	kráčet
objať	obejmout
počkať	počkat
zakričať	zakřičet
hľadieť	hledět
prejsť	projít / přejít
vojsť	vejít
zísť	sejít
pýtať	ptát
nasledovať	následovat
pokrčiť	pokrčit
zmocniť	zmocnit
tváriť	tvářit
zaznieť	zaznít
trápiť	trápit
zabezpečiť	zabezpečit
tešiť	těšit
želať	přát
nastať	nastat
vypytovať	vyptávat
zaspať	usnout
prezradiť	prozradit
skrývať	skrývat
vyskočiť	vyskočit
smiať	smát
stiahnuť	stáhnout
dovoliť	dovolit
visieť	viset
zazrieť	zahlédnout
vysvetľovať	vysvětlovat
skočiť	skočit
dívať	dívat
zaujímať	zajímat / zaujímat
pokrútiť	pokroutit
vytiahnuť	vytáhnout
považovať	považovat
vyliezť	vylézt
túžiť	toužit
ozvať	ozvat
opustiť	opustit
podporovať	podporovat
očakávať	očekávat
pozerať	pohlížet / dívat
zavolať	zavolat
začínať	začínat
vymyslieť	vymyslet
prichádzať	přicházet
nenávidieť	nenávidět
vyhŕknuť	vyhrknout
podísť	podejít / popojít
dodať	dodat
prikázať	přikázat
priviesť	přivést
pozorovať	pozorovat
pokúšať	pokoušet
ocitnúť	octnout
pamätať	pamatovat
vychádzať	vycházet
konať	konat
vypnúť	vypnout
spomínať	vzpomínat
chápať	chápat
vzniknúť	vzniknout
napadnúť	napadnout
