hýbať	hýbat
milovať	milovat
popremýšľať	popřemýšlet
vstupovať	vstupovat
ohlasovať	ohlasovat
strčiť	strčit
vystihovať	vystihovat
obľúbiť	oblíbit
zabávať	bavit
otráviť	otrávit
podobať	podobat
prikloniť	přiklonit
súhlasiť	souhlasit
presýpať	přesýpat
zničiť	zničit
dochádzať	docházet
šampónovať	šamponovat
vymenovať	vyjmenovat
poslúžiť	posloužit
zatláčať	zatlačovat
plesnúť	plesknout
trestať	trestat
vravieť	pravit / říkat
preplietať	proplétat
začervenať	začervenat
zajasať	zajásat
vyjadrovať	vyjadřovat
zhovárať	hovořit / mluvit
zaplniť	zaplnit
splodiť	zplodit
vytieňovať	vystínovat
ošetriť	ošetřit
zdôveriť	svěřit
pobiť	pobít
obopínať	obepínat
tárať	kecat
priviezť	přivézt
tyranizovať	tyranizovat
čmárať	čmárat
uväzovať	uvazovat
uveriť	uvěřit
lesknúť	lesknout
požierať	požírat
vymotať	vymotat
zablokovať	zablokovat
zakúsiť	zakusit
čudovať	divit
udržať	udržet
zopakovať	zopakovat
poslúchnuť	poslechnout
špehovať	špehovat
hundrať	brumlat
zatajiť	zatajit
začať	začít
potrebovať	potřebovat
zapískať	zapískat
dediť	dědit
podstrčiť	podstrčit
zakutrať	zahrabat / přikrýt
rozliať	rozlít
sformovať	zformovat
obliať	polít
vystupovať	vystupovat
zaryť	zarýt
dodržať	dodržet
zastonať	zasténat
jachtať	koktat / zajíkat
potiahnuť	potáhnout
prenikať	pronikat
čítať	číst / čítat
zadupotať	zadupat
očariť	okouzlit
korunovať	korunovat
nastaviť	nastavit
prebúdzať	probouzet
vyprodukovať	vyprodukovat
prezrádzať	prozrazovat
viazať	vázat
pretínať	protínat
vyzdvihovať	vyzdvihovat / vyzvedat
poznávať	poznávat
brúsiť	brousit
opovrhovať	opovrhovat
chodiť	chodit
pochytať	pochytat
stíchnuť	ztichnout
hanbiť	stydět
vytvárať	vytvářet
utkvieť	utkvít / utkvět
odkryť	odkrýt
vzdávať	vzdávat
utopiť	utopit
určovať	určovat
rozmliaždiť	rozmáčknout / rozmačkat
rozrečniť	rozřečnit / rozmluvit
zakrúžkovávať	zakroužkovávat
debatovať	debatovat
kaziť	kazit
zatriasť	zatřást
kúpiť	koupit
preľstiť	přelstít
uzurpovať	uzurpovat
bičovať	bičovat
zalievať	zalévat
prerokovať	přerokovat
vážiť	vážit
vyvinúť	vyvinout
rozveseliť	rozveselit
pretekať	přetékat / protékat / závodit
prebrať	přebrat
spýtať	zeptat
prehĺbiť	prohloubit
zablyšťať	zablýsknout
preglgnúť	polknout / zhltnout
voňať	vonět
zadusiť	zadusit / zardousit
ležať	ležet
odohrávať	odehrávat
vydať	vydat / vdát
zveličiť	zveličit
vylieziem	XXX
hriať	hřít
preťať	přetít / protít
premôcť	přemoci
zhroziť	zhrozit
vytopiť	vytopit
narodiť	narodit
považovať	považovat
presadnúť	přesednout
oznámiť	oznámit
letieť	letět
zberať	sbírat
vypadnúť	vypadnout
prisúvať	přisouvat
zívnuť	zívnout
zvýšiť	zvýšit
doplniť	doplnit
vyskytnúť	vyskytnout
oblizovať	olizovat
zaspávať	usínat
funieť	funět
uložiť	uložit
zasypávať	zasypávat
nachádzať	nacházet
ohrozovať	ohrožovat
postihovať	postihovat
odhliadnuť	odhlédnout
zapochybovať	zapochybovat
okovať	okovat
vidieť	vidět
rozletieť	rozletět
spresniť	zpřesnit
prinášať	přinášet
navrhovať	navrhovat
plytvať	plýtvat
vdýchnuť	vdechnout
vkladať	vkládat
potkel	XXX
prepustiť	propustit / přepustit
vychladnúť	vychladnout
nadúvať	nadýmat
zmrákať	smrákat
vyplácať	vyplácet
podať	podat
odhadzovať	odhazovat
poobzerať	poohlédnout / ohlédnout / prohlédnout
prezrieť	prohlédnout
hučať	hučet
približovať	přibližovat
štekliť	lechtat
ušetriť	ušetřit
rozrušiť	rozrušit
hovorievať	říkávat
nakuknúť	nakouknout
vybavovať	vybavovat
pomyslieť	pomyslet
podniknúť	podniknout
prehlásiť	prohlásit
odpískať	odpískat
zakladať	zakládat
poraziť	porazit
loviť	lovit
oživovať	oživovat
vydrhnúť	vydrhnout
zdvíhať	zvedat / zdvihat
zdráhať	zdráhat
pristúpiť	přistoupit
prekonať	překonat
vyznačovať	vyznačovat
konkurovať	konkurovat
odmietať	odmítat
kritizovať	kritizovat
skríknuť	zkřiknout
spotrebovať	spotřebovat
pochodovať	pochodovat
otesávať	otesávat
odplašiť	odplašit
zriecť	zříci
predať	prodat
pliesť	plést
