mít	mať
být	byť
moci	môcť
muset	musieť
stát	stáť
říci	povedať
jít	ísť
chtít	chcieť
lze	XXX
dát	dať
uvést	uviesť
dostat	dostať
začít	začať
získat	získať
vědět	vedieť
říkat	hovoriť / vravieť
hrát	hrať
přijít	prísť
patřit	patriť
rozhodnout	rozhodnúť
vést	viesť
platit	platiť
znamenat	znamenať
dojít	dôjsť
existovat	existovať
vidět	vidieť
považovat	považovať
zůstat	zostať
jednat	jednať
podařit	podariť
dosáhnout	dosiahnuť
představovat	predstavovať
pracovat	pracovať
najít	nájsť
snažit	snažiť
zvýšit	zvýšiť
činit	činiť
počítat	počítať
dokázat	dokázať
prohlásit	vyhlásiť
myslit	myslieť
tvrdit	tvrdiť
oznámit	oznámiť
vrátit	vrátiť
žít	žiť
potřebovat	potrebovať
objevit	objaviť
skončit	skončiť
dělat	robiť
vzniknout	vzniknúť
čekat	čakať
zdát	zdať
potvrdit	potvrdiť
pokračovat	pokračovať
stačit	stačiť
nabízet	ponúkať
očekávat	očekávať
vydat	vydať
dodat	dodať
vytvořit	vytvoriť
začínat	začínať
předpokládat	predpokladať
znát	poznať
hovořit	hovoriť
uvádět	uvádzať
působit	pôsobiť
změnit	zmeniť
odmítnout	odmietnuť
vycházet	vychadzať
dávat	dávať
sdělit	zdeliť
chybět	chýbať
vyhrát	vyhrať
udělat	urobiť
tvořit	tvoriť
mluvit	hovoriť
zaplatit	zaplatiť
ukázat	ukázať
zabývat	zaoberať
věřit	veriť
trvat	trvať
hledat	hľadať
zjistit	zistiť
přijmout	prijať
odpovídat	odpovedať
zůstávat	zostávať
pomoci	pomôcť
domnívat	domnievať
týkat	týkať
prodávat	predávať
označit	označiť
psát	písať
ukazovat	ukazovať
nechat	nechať
využít	využiť
vyjádřit	vyjadriť
představit	predstaviť
vyjít	vyjsť
snížit	znížiť
uskutečnit	uskutočniť
vzít	vziať
vyplývat	vyplývať
umožnit	umožniť
prodat	predať
obsahovat	obsahovať
připravit	pripraviť
informovat	informovať
hodlat	hodlať
přinést	priniesť
věnovat	venovať
řešit	riešiť
používat	používať
konat	konať
umožňovat	umožňovať
zahájit	zahájiť
sledovat	sledovať
dostávat	dostávať
požádat	požiadať
předložit	predložiť
nastoupit	nastúpiť
zdůraznit	zdôrazniť
připravovat	pripravovať
smět	smieť
podepsat	podpísať
měnit	meniť
docházet	dochádzať
brát	brať
pohybovat	pohybovať
podat	podať
koupit	kúpiť
souhlasit	súhlasiť
podílet	podieľať
zúčastnit	zúčastniť
schválit	schváliť
vstoupit	vstúpiť
odmítat	odmietať
napsat	napísať
uzavřít	uzavrieť
učinit	učiniť
dohodnout	dohodnúť
bránit	brániť
uvažovat	uvažovať
hrozit	hroziť
projevit	prejaviť
žádat	žiadať
cítit	cítiť
požadovat	požadovať
umět	vedieť
poskytovat	poskytovať
růst	rásť
poskytnout	poskytnúť
využívat	využívať
řídit	riadiť / viesť
konstatovat	konštatovať
nabídnout	ponúknuť
vracet	vracať
odejít	odísť
vznikat	vznikať
stávat	stávať
odpovědět	odpovedať
stavět	stavať
sloužit	slúžiť
zajistit	zaistiť
podporovat	podporovať
rozhodovat	rozhodovať
připomínat	pripomínať
vyslovit	vysloviť
probíhat	prebiehať
přicházet	prichádzať
způsobit	spôsobiť
připomenout	pripomenúť
použít	použiť
zaznamenat	zaznamenať
ztratit	stratiť
reagovat	reagovať
vzrůst	vzrásť
zastavit	zastaviť
přijet	prísť
podpořit	podporiť
upozornit	upozorniť
pomáhat	pomáhať
přát	priať
jet	ísť
vyvolat	vyvolať
převzít	prevziať
bojovat	bojovať
dodávat	dodávať
připadat	pripadať
vytvářet	vytvárať
přispět	prispieť
postavit	postaviť
následovat	nasledovať
vlastnit	vlastniť
pokusit	pokúsiť
vyrábět	vyrábať
opustit	opustiť
vypadat	vyzerať
navrhnout	navrhnúť
vyžadovat	vyžadovať
obdržet	obdržať
